GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
310,105,2,3,3.5,8.01,No,0.71
307,105,2,2.5,4.5,8.12,Yes,0.67
329,111,4,4.5,4,9.01,Yes,0.81
300,105,1,1,2,7.8,No,0.58
329,114,5,4,5,9.3,Yes,0.86
300,104,3,3.5,3,8.16,No,0.71
318,103,3,4,4.5,8.49,Yes,0.71
322,110,4,4,5,9.13,Yes,0.86
315,105,2,2,2.5,7.65,No,0.39
332,119,4,5,4.5,9.24,Yes,0.9
336,118,5,4.5,5,9.53,Yes,0.94
322,105,2,3,3,8.45,Yes,0.65
327,113,4,4.5,5,9.14,No,0.83
327,106,4,4,4.5,8.75,Yes,0.76
314,107,2,2.5,4,8.56,No,0.63
331,112,5,4,5,9.8,Yes,0.94
338,115,5,4.5,5,9.23,Yes,0.91
308,109,2,3,4,8.45,No,0.71
298,100,3,2.5,4,7.95,Yes,0.58
325,108,4,4.5,4,9.06,Yes,0.79
307,109,3,4,3,8,Yes,0.62
327,115,4,3.5,4,9.14,No,0.79
295,99,2,2.5,3,7.65,No,0.57
316,109,3,3.5,3,8.76,No,0.77
313,106,2,2.5,2,8.43,No,0.62
322,115,5,4,4.5,9.36,Yes,0.92
312,105,2,2.5,3,8.12,No,0.64
298,97,2,2,3,7.21,No,0.45
310,110,1,1.5,4,7.23,Yes,0.58
338,118,4,3,4.5,9.4,Yes,0.91
305,104,2,2.5,1.5,7.79,No,0.53
312,107,2,2.5,3.5,8.27,No,0.69
317,106,2,2,3.5,8.12,No,0.73
338,120,4,5,5,9.66,Yes,0.95
319,108,2,2.5,3,8.76,No,0.66
323,110,5,4,5,8.98,Yes,0.87
327,116,4,4,4.5,9.48,Yes,0.9
311,106,2,3.5,3,8.26,Yes,0.79
304,107,3,3.5,3,7.86,No,0.57
340,120,5,4.5,4.5,9.91,Yes,0.97
311,104,2,2.5,3.5,8.48,No,0.71
301,104,3,3.5,4,8.12,Yes,0.68
314,107,3,3,3.5,8.17,Yes,0.73
320,113,2,2,2.5,8.64,Yes,0.81
325,106,3,3.5,4,8.4,Yes,0.52
310,106,2,3.5,2.5,8.33,No,0.73
295,96,2,1.5,2,7.34,No,0.47
303,99,3,2,2.5,7.66,No,0.36
323,110,4,4,5,8.88,Yes,0.81
300,98,1,2,2.5,8.02,No,0.61
317,105,3,3.5,3,8.56,No,0.68
324,111,5,4.5,4,9.16,Yes,0.9
334,117,5,4,4.5,9.07,Yes,0.89
312,109,2,2.5,4,9.02,No,0.8
329,110,2,4,3,9.15,Yes,0.84
304,105,2,3,3,8.2,Yes,0.54
320,104,3,3.5,4.5,8.34,Yes,0.74
325,112,2,3,3.5,8.96,Yes,0.8
312,105,2,1.5,3,8.46,No,0.66
305,108,5,3,3,8.48,No,0.61
302,99,1,2,2,7.25,No,0.57
324,115,3,3.5,3,8.76,Yes,0.7
312,105,3,2,3,8.02,Yes,0.5
308,103,2,2.5,4,8.36,Yes,0.7
314,108,4,4.5,4,9.04,Yes,0.84
